task_id,split,goal,method,model,provider,success_gt,success_llm,stop_reason,total_steps,llm_calls,det_steps,savings_pct,tools_required,tools_called,input_tokens,output_tokens,cost_usd,wall_time_s,error
G1_000,G1,I'm working on a logistics project for my company and need to check the health o,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,True,True,task_complete,2,2,0,50.0,2,2,665,185,0.0,3.31,
G1_000,G1,I'm working on a logistics project for my company and need to check the health o,react,anthropic/claude-haiku-4.5,openrouter,True,True,task_complete,2,3,-1,0.0,2,2,887,201,0.0,4.58,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects availab",dead_reckoning,anthropic/claude-haiku-4.5,openrouter,True,True,task_complete,2,2,0,50.0,2,2,665,184,0.0,3.91,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects availab",react,anthropic/claude-haiku-4.5,openrouter,True,True,task_complete,2,3,-1,0.0,2,2,887,235,0.0,5.27,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcas,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,True,True,task_complete,2,2,0,50.0,2,2,685,190,0.0,3.93,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcas,react,anthropic/claude-haiku-4.5,openrouter,True,True,task_complete,2,3,-1,0.0,2,2,927,236,0.0,4.9,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to pr,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,True,True,task_complete,2,2,0,50.0,2,2,679,187,0.0,3.47,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to pr,react,anthropic/claude-haiku-4.5,openrouter,True,True,task_complete,2,3,-1,0.0,2,2,915,253,0.0,5.69,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'A,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,2,2,0,50.0,10,2,833,285,0.0,4.26,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'A,react,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,1,2,-1,0.0,10,1,739,224,0.0,4.37,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking f,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,2,2,0,50.0,7,2,767,265,0.0,3.35,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking f,react,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,2,3,-1,0.0,7,2,1075,349,0.0,5.27,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for differen,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,2,2,0,50.0,7,2,744,282,0.0,3.76,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for differen,react,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,2,3,-1,0.0,7,2,1031,412,0.0,6.83,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for diff,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,2,2,0,50.0,7,2,747,252,0.0,3.53,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for diff,react,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,2,3,-1,0.0,7,2,1049,351,0.0,16.06,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find ,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,5,3,2,60.0,11,3,1262,366,0.0,5.89,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find ,react,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,3,4,-1,0.0,11,3,1570,457,0.0,7.27,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest ,dead_reckoning,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,6,3,3,66.66666666666666,11,4,1315,467,0.0,6.47,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest ,react,anthropic/claude-haiku-4.5,openrouter,False,True,task_complete,4,5,-1,0.0,11,4,2116,535,0.0,9.69,
